0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /js/custom.js HTTP/1.1" 200 1892 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /js/bootstrap.js HTTP/1.1" 200 76511 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /js/jquery-3.2.0.js HTTP/1.1" 200 377070 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:25 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 49(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:26:29 -0700] "POST /share HTTP/1.1" 200 64 173(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:28:07 -0700] "GET /home.html HTTP/1.1" 200 2322 60(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:28:07 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 5(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:28:07 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:28:07 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 47(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:28:11 -0700] "POST /share HTTP/1.1" 200 64 170(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:30:42 -0700] "GET /home.html HTTP/1.1" 200 2322 59(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:30:42 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:30:42 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:30:42 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 47(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:30:46 -0700] "POST /share HTTP/1.1" 200 64 200(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:31:13 -0700] "GET /home.html HTTP/1.1" 200 2322 59(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:31:13 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:31:13 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:31:14 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 48(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:31:16 -0700] "POST /share HTTP/1.1" 200 64 208(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:32:58 -0700] "GET /home.html HTTP/1.1" 200 2322 57(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:32:58 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 6(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:32:58 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:32:58 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 51(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:01 -0700] "POST /share HTTP/1.1" 200 64 164(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:43 -0700] "GET /home.html HTTP/1.1" 200 2322 58(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:43 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:43 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:43 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 50(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:33:46 -0700] "POST /share HTTP/1.1" 200 64 167(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:42:35 -0700] "GET /home.html HTTP/1.1" 200 2331 61(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:42:35 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:42:35 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:42:35 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 49(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:18:49:47 -0700] "POST /share HTTP/1.1" 200 64 273(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /home.html HTTP/1.1" 200 2331 63(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /js/custom.js HTTP/1.1" 200 1930 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /js/bootstrap.js HTTP/1.1" 200 76511 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /js/jquery-3.2.0.js HTTP/1.1" 200 377070 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:23 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 45(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:43:42 -0700] "POST /share HTTP/1.1" 200 5799079 6797(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:21:44:49 -0700] "GET /users HTTP/1.1" 200 380 20(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /home.html HTTP/1.1" 200 2331 58(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /js/custom.js HTTP/1.1" 200 1930 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 9(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /js/bootstrap.js HTTP/1.1" 200 76511 8(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /js/jquery-3.2.0.js HTTP/1.1" 200 377070 11(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:37 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 56(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:55:52 -0700] "POST /share HTTP/1.1" 200 1198511 272(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:57:34 -0700] "GET /users HTTP/1.1" 200 380 18(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:22:57:59 -0700] "GET /users HTTP/1.1" 200 380 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /home.html HTTP/1.1" 200 2331 60(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 154547 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /js/custom.js HTTP/1.1" 200 1930 7(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /js/bootstrap.js HTTP/1.1" 200 76511 10(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /css/custom.css HTTP/1.1" 200 1283 11(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /js/jquery-3.2.0.js HTTP/1.1" 200 377070 12(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:10 -0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 136 48(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:13 -0700] "POST /share HTTP/1.1" 200 1198511 235(ms)
0:0:0:0:0:0:0:1 - - [18/Apr/2017:23:31:20 -0700] "GET /users HTTP/1.1" 500 213 35(ms)
